question,language_code,answer
"Frage: Welche Anforderungen müssen erfüllt sein, damit in der Etikettierung, Werbung oder Geschäftspapieren für Futtermittel, Mischfuttermittel und Futtermittel-Ausgangserzeugnisse ein Hinweis auf den ökologischen Landbau/die biologische Landwirtschaft platziert werden darf?",de,"

Antwort: Dies ist nur zulässig, wenn
a) die Erzeugnisse von Unternehmen produziert, verarbeitet oder eingeführt werden, die der Kontrollvorschrift unterliegen,
b) die Erzeugnisse sowie die verwendeten Ausgangserzeugnisse nicht mit ionisierenden Strahlen behandelt wurden,
c) die Bedingungen für Futtermittel gemäß Anhang I Teil B der Verordnung (EWG) Nr. 2092/91 erfüllt sind,
d) Futtermittel-Ausgangserzeugnisse aus ökologischem Landbau nicht gleichzeitig mit konventionellen Ausgangserzeugnissen derselben Art verwendet werden und
e) Futtermittel-Ausgangserzeugnisse aus Umstellungserzeugnissen nicht gleichzeitig mit konventionellen Ausgangserzeugnissen derselben Art verwendet werden."
"Frage: Welche Waren unterliegen ab dem 5. August 1991 wieder der Erhebung von Zöllen, wenn sie aus China in die Europäische Gemeinschaft importiert werden, und welchem Geldbetrag entspricht dieser Zoll?",de,"

Antwort: Ab dem 5. August 1991 unterliegen Waren des KN-Codes 9105, also andere Uhren, die aus China importiert werden, wieder der Erhebung von Zöllen. Der individuelle Plafond für diese Waren betrug 5.182.000 ECU."
Frage: Ab wann wird der Zollsatz für Einfuhren von bestimmten Textilwaren aus Brasilien in die Europäische Gemeinschaft wiedereingeführt?,de,"

Antwort: Der Zollsatz wird ab dem 1. November 1993 wiedereingeführt."
Frage: Welche Bezeichnungen werden gemäß Artikel 1 der Verordnung (EG) Nr. 284/2008 der Kommission in das Verzeichnis der geschützten geografischen Angaben aufgenommen?,de,"

Antwort: Gemäß Artikel 1 werden die Bezeichnungen ""Lingot du Nord"", ""Cipolla Rossa di Tropea Calabria"" und ""Marrone di Roccadaspide"" in das Verzeichnis der geschützten geografischen Angaben aufgenommen."
Muss die Kommission nach Artikel 22 Absatz 1 Buchstaben e bis g der Richtlinie 2006/21/EG des Europäischen Parlaments und des Rates über die Bewirtschaftung von Abfällen aus der mineralgewinnenden Industrie bestimmte Maßnahmen erlassen?,de,
"Frage: Welche Mitgliedstaaten dürfen die statistischen Erhebungen über den Rinderbestand und die Rindererzeugung gemäß Artikel 8 Absatz 1 der Richtlinie 93/24/EWG nur auf bestimmte Regionen beschränken, sofern dabei mindestens 70 % ihres Rinderbestands erfasst werden?",de,"

Antwort: Die Mitgliedstaaten, die dies gemäß Anhang IV Buchstabe a der Entscheidung der Kommission vom 26. Oktober 2004 tun dürfen, sind Belgien, Dänemark, Deutschland, Griechenland, Frankreich, Italien, Luxemburg, Niederlande, Österreich, Portugal, Finnland und Schweden."
"Frage: Welche Richtlinie wurde geändert, um zusätzliche Prüfungen für vor dem Führersitz angebrachte Umsturzvorrichtungen an land- und forstwirtschaftlichen Schmalspurzugmaschinen auf Rädern festzulegen, und was sind die neuen Prüfanforderungen?",de,"

Antwort: Die Richtlinie 87/402/EWG wurde geändert. Die neuen Anforderungen umfassen zusätzliche Schlag- und Druckprüfungen für vor dem Führersitz angebrachte Umsturzschutzvorrichtungen, um deren Zuverlässigkeit zu gewährleisten. Bei einer Schlagprüfung, die erhebliche Brüche oder Risse ergibt, muss eine zweite ähnliche Prüfung mit einer erhöhten Fallhöhe durchgeführt werden. Außerdem muss eine zweite ähnliche Druckprüfung mit einer Kraft von 1,2 Fvm durchgeführt werden, wenn die erste Druckprüfung zu erheblichen Brüchen oder Rissen führt. Diese zusätzlichen Prüfungen sollen das derzeitige Ungleichgewicht zwischen den statischen und dynamischen Prüfverfahren beseitigen und die Sicherheit verbessern."
Frage: Welche Verordnung regelt die Erstattungen für Rindfleischausfuhren und mit welchem Betrag werden diese festgesetzt?,de,"

Antwort: Die Verordnung (EG) Nr. 1501/2006 der Kommission festsetzt Ausfuhrerstattungen im Rindfleischsektor auf die in Anhang genannten Erzeugnisse und Beträge. Die Erstattungen betragen beispielsweise für Erzeugnisse mit der KN-Code 0201 30 00 9100 39,20 EUR/100 kg."
Frage: Welcher Beschluss des Gemischten Ausschusses EWG-Schweiz wird in Artikel 1 der Verordnung (EWG) Nr. 2271/86 des Rates erwähnt und auf welche Weise wird er in der Gemeinschaft angewendet?,de,"

Antwort: Artikel 1 bezieht sich auf den Beschluss Nr. 1/86 des Gemischten Ausschusses EWG-Schweiz über die gemeinschaftlichen Versandverfahren. Er wird angewendet, indem die Bestimmungen des Beschlusses in das Recht der Europäischen Gemeinschaft integriert werden."
Frage: Ab wann wird der Zollsatz für Einfuhren von Bettwäsche mit Ursprung in Malaysia wiedereingeführt und welche Waren sind betroffen?,de,"

Antwort: Ab dem 2. November 1992 wird der Zollsatz für Einfuhren von Bettwäsche mit Ursprung in Malaysia wiedereingeführt. Die Maßnahme betrifft Waren der Kategorie 20 (laufende Nummer 40.0200), darunter Bettwäsche aus Gewirken und andere Bettwäsche, die unter die KN-Codes fallen: 6302 21 00, 6302 22 90, 6302 29 90, 6302 31 10, 6302 31 90, 6302 32 90 und 6302 39 90."
"Frage: Welches ist die Mindestmenge, die ein gültiges Angebot im Rahmen der Ausschreibung der Ausfuhrerstattung für Weichweizen gemäß der Verordnung (EG) Nr. 936/2006 umfassen muss?",de,"

Antwort: Ein Angebot ist gemäß Artikel 2 erst dann gültig, wenn es sich auf mindestens 1.000 Tonnen Weichweizen erstreckt."
"In welchem Jahr müssen die Mitgliedstaaten der Europäischen Union Luftqualitätspläne erstellen, wenn die Schadstoffwerte in der Luft die Grenzwerte überschreiten?",de," 

Die Mitgliedstaaten müssen Luftqualitätspläne erstellen und der Kommission innerhalb von zwei Jahren nach dem Jahr, in dem die ersten Überschreitungen festgestellt wurden, übermitteln."
Question: Wer kann aus der Gemeinschaft stammendes Olivenöl der Interventionsstelle anbieten?,de,"

Answer: Aus der Gemeinschaft stammendes Olivenöl kann der Interventionsstelle entweder von jeder natürlichen oder juristischen Person als Erstbesitzer oder von Erzeugerorganisationen und ihren anerkannten Vereinigungen gemäß der Verordnung Nr. 136/66/EWG angeboten werden, die auf Rechnung ihrer Mitglieder handeln."
Frage: Welche Erstattungssätze werden für die Ausfuhr bestimmter Getreide- und Reisprodukte festgesetzt?,de,"

Antwort: Die Verordnung (EG) Nr. 180/2007 der Kommission legt die Erstattungssätze für die Ausfuhr von Getreide- und Reisprodukten fest, die in Form von Waren ausgeführt werden, die nicht unter Anhang I des Vertrags zur Gründung der Europäischen Gemeinschaft fallen. Die Erstattungssätze variieren je nach Produkt und Bestimmungsgebiet und werden im Anhang der Verordnung aufgeführt."
"Frage: Welcher Fischbestand ist für Schiffe, die unter portugiesischer Flagge fahren, gemäß der Verordnung (EG) Nr. 1880/2006 der Kommission vom 14. Dezember 2006 nicht mehr befischt werden darf?",de,"

Antwort: Die Verordnung verbietet das Fischen von schwarzem Heilbutt im NAFO-Gebiet 3LMNO."
Frage: Welcher Preis wurde am 30. Juni 2006 als Weltmarktpreis für nicht entkörnte Baumwolle festgesetzt?,de,"

Antwort: Der Weltmarktpreis für nicht entkörnte Baumwolle wurde am 30. Juni 2006 auf 21,259 EUR pro 100 kg festgesetzt."
"Frage: Welche Verordnung passt die höchstzulässige jährliche Fangmenge für Spanien an, um eine bessere Ausschöpfung der Fangquoten zu ermöglichen, und wann ist diese Verordnung in Kraft getreten?",de,"

Antwort: Die Verordnung (EG) Nr. 2762/1999 der Kommission passt die Fangmenge an und sie ist am Tag nach ihrer Veröffentlichung am 22. Dezember 1999 in Kraft getreten."
Frage: Welche Verordnung regelt die Erteilung von Einfuhrlizenzen für bestimmte Erzeugnisse im Sektor Eier und Eieralbumin im Zeitraum vom 1. Oktober bis 31. Dezember 2008 und legt die hinzuzufügenden Mengen für den folgenden Kontingentsteilzeitraum fest?,de,"

Antwort: Die Verordnung (EG) Nr. 926/2008 der Kommission."
Frage: Welcher Kurs wurde von der Kommission zur Umrechnung der Zuckerlagerkosten im Juli 1993 festgelegt?,de,"

Antwort: Der besondere landwirtschaftliche Kurs, der von der Kommission zur Umrechnung der Zuckerlagerkosten im Juli 1993 festgelegt wurde, ist im Anhang der Verordnung (EWG) Nr. 2431/93 aufgeführt. "
Frage: Welche Angaben auf der Liste im Anhang zur Verordnung (EG) Nr. 2851/98 werden geändert und wie lauten die neuen Informationen?,de,"

Antwort: Die Kommission ändert die Liste der Schiffe, die beim Seezungenfang Baumkurren verwenden dürfen, deren Gesamtbaumlänge mehr als 9 Meter beträgt. Die Änderungen betreffen die Korrektur der Angaben zu den Schiffen certain Member States, die in der Liste aufgeführt sind. Die neuen Angaben sind im Anhang zur Entscheidung der Kommission vom 19. Oktober 1999 aufgeführt."
Frage: Warum wurde der Vorschlag der Kommission für eine Verordnung über die Verwendung von antimikrobiellen Stoffen zur Entfernung von Oberflächenverunreinigungen bei Geflügelschlachtkörpern abgelehnt?,de,"

Antwort: Der Vorschlag wurde abgelehnt, weil Bedenken hinsichtlich der unzureichenden wissenschaftlichen Daten zu den mit der Verwendung dieser Stoffe verbundenen Risiken bestanden. Nach dem Vorsorgeprinzip konnten vorläufige Risikomanagementmaßnahmen ergriffen werden, um das hohe Gesundheitsschutzniveau in der Europäischen Union zu gewährleisten, bis weitere wissenschaftliche Informationen vorliegen. Es wurde festgestellt, dass die Verwendung antimikrobieller Stoffe zur Entfernung von Oberflächenverunreinigungen bei Geflügelschlachtkörpern potenzielle Risiken für die menschliche Gesundheit, die antimikrobielle Resistenz und die Umwelt birgt, weshalb der Vorschlag einstimmig abgelehnt wurde. Stattdessen sollten Daten von Lebensmittelunternehmern und Forschungsprogrammen gesammelt werden, um eine umfassendere Risikobewertung vornehmen zu können."
Frage: Welche Faktoren bestimmen die Erstattungsbeträge für die Ausfuhr von Obst und Gemüse zwischen dem 1. Juli und dem 16. September 2001?,de,"

Antwort: Die Erstattungsbeträge werden durch die Überschreitung der Richtmengen bei Apfelsinen, Zitronen, Tafeltrauben, Äpfeln und Pfirsichen sowie durch die gemäß Artikel 5 Absatz 6 der Verordnung (EG) Nr. 2190/96 beantragten Mengen bestimmt."
Frage: Welche Mitgliedstaaten erhielten eine Verlängerung der Frist für ihre Umstellungspläne in Bezug auf Hopfenanbauflächen und bis zu welchem Jahr wurden diese verlängert?,de,"

Antwort: Das Königreich Spanien, die Portugiesische Republik, das Königreich Belgien und das Vereinigte Königreich erhielten eine Verlängerung bis zum 31. Dezember 1996, außer im Falle des Vereinigten Königreichs, dessen Frist auf den 31. Dezember 1995 festgesetzt wurde."
Frage: Welche Waren sind in der Verordnung (EG) Nr. 1452/2007 aufgeführt und wie werden sie eingereiht?,de,"

Antwort: Die Verordnung (EG) Nr. 1452/2007 legt fest, dass die in Spalte 1 der Tabelle im Anhang der Verordnung aufgeführten Waren in die jeweiligen KN-Codes (Kombinierte Nomenklatur) eingereiht werden, die in Spalte 2 angegeben sind. Dazu gehören beispielsweise Waren wie Schokoladenkekse, bestimmte Käsesorten und elektrische Tischgrills. Die Einreihung dient der einheitlichen Anwendung der Zolltarifregeln."
Frage: Welche Dokumente sind von dem Beschluss des Verwaltungsrates der Europäischen Stiftung für die Verbesserung der Lebens- und Arbeitsbedingungen über den Zugang der Öffentlichkeit zu Dokumenten abgedeckt?,de,"

Antwort: Der Beschluss deckt Dokumente der Europäischen Stiftung für die Verbesserung der Lebens- und Arbeitsbedingungen ab, das heißt von ihr geschaffene oder erhaltene Dokumente, die sich in ihrem Besitz befinden. Dies schließt Dokumente Dritter ein, sofern diese in den Besitz der Stiftung übergehen."
"Frage: Welche Waren Kategorien mit Ursprung in China unterliegen ab dem 12. Juli 1992 wieder der Zollgebühr, die in der Verordnung (EWG) Nr. 3832/90 des Rates festgelegt wurde, und wie hoch ist die jeweilige Menge an Waren, für die der Plafond festgelegt wurde?",de,"

Antwort: Ab dem 12. Juli 1992 unterliegen die Waren Kategorien 72, 88 und 97 (laufende Nummern 40.0720, 40.0880 und 40.0970) mit Ursprung in China wieder der Zollgebühr. Der Plafond wurde für jede Kategorie auf 38 000 Stück, 2 Tonnen bzw. 4 Tonnen festgelegt."
"Frage: Welche Aufgaben haben die gemeinschaftlichen Referenzlaboratorien gemäß Artikel 1 der Entscheidung des Rates vom 6. März 1989 und was sind die Mindestanforderungen, die diese Laboratorien erfüllen müssen, um diese Aufgaben durchführen zu können?",de,"

Antwort: Gemäß Artikel 1 der Entscheidung sind die Aufgaben der gemeinschaftlichen Referenzlaboratorien Folgende:
a) Koordinierung der Anwendung einer guten Laborpraxis in den verschiedenen einzelstaatlichen Referenzlaboratorien;
b) Unterrichtung der einzelstaatlichen Referenzlaboratorien über Analysemethoden, durchzuführende Meßvergleichsprüfungen sowie über deren Ergebnisse;
c) technische Beratung der einzelstaatlichen Referenzlaboratorien;
d) Versand von Blindproben für Meßvergleichsprüfungen;
e) Durchführung von Meßvergleichsprüfungen zwischen den verschiedenen Referenzlaboratorien;
f) Förderung und Koordinierung der Suche nach neuen Analysemethoden und Unterrichtung der einzelstaatlichen Referenzlaboratorien über Fortschritte;
g) qualitative und quantitative Bestimmung von Rückständen im Falle von Streitigkeiten zwischen Mitgliedstaaten;
h) Organisation von Schulungen für Experten aus einzelstaatlichen Laboren;
i) technische und wissenschaftliche Unterstützung der Kommissionsstellen sowie des Referenzbüros der Gemeinschaft;
j) Erstellung eines jährlichen Tätigkeitsberichts;
k) Zusammenarbeit mit den einzelstaatlichen Referenzlaboratorien, die von Drittländern bestimmt werden.

Um die in Artikel 1 genannten Arbeiten durchführen zu können, müssen die gemeinschaftlichen Referenzlaboratorien gemäß Artikel 2 bestimmte Mindestanforderungen erfüllen bezüglich:
- Fachpersonal
- Gerätschaften und Reagenzien
- Verwaltungsapparat
- Datenverarbeitungskapazitäten
- Vertraulichkeit
- Kenntnis internationaler Normen
- Vorhandensein einer aktuellen Liste der Referenzsubstanzen."
Frage: Welches Übereinkommen wurde vom Rat der Europäischen Union genehmigt und auf welche Zuständigkeiten der Europäischen Gemeinschaft stützt es sich?,de,"

Antwort: Das Übereinkommen zwischen der Europäischen Gemeinschaft, der Europäischen Weltraumorganisation und der Europäischen Organisation zur Sicherung der Luftfahrt über einen europäischen Beitrag zur Errichtung eines globalen Satellitennavigationssystems (GNSS), das auf Artikel 75 Absatz 1, Artikel 84 Absatz 2 und Artikel 130 m in Verbindung mit Artikel 228 des Vertrags zur Gründung der Europäischen Gemeinschaft basiert."
Frage: Welches Datum wird in Artikel 5 der Entscheidung 2008/866/EG der Kommission durch die Entscheidung der Kommission vom 30. November 2009 geändert?,de,"

Antwort: Das Datum ""30. November 2009"" wird durch ""30. November 2010"" ersetzt."
"Frage: Welche Verordnung legt die von der Kommission der Europäischen Gemeinschaften festgesetzten Zölle für den Getreidesektor dar, die ab dem 16. Oktober 2005 gelten, und wie lautet ihr Artikel 1?",de,"

Antwort: Die Verordnung (EG) Nr. 1692/2005 der Kommission legt die Zölle fest, die gemäß Artikel 10 der Verordnung (EG) Nr. 1784/2003 im Getreidesektor gelten. Artikel 1 dieser Verordnung setzt die im Anhang I genannten Zölle fest, die auf der Grundlage der im Anhang II genannten Komponenten berechnet werden."
"Frage: Wie viel belaufen sich die Mittel, die für die Durchführung des Programms für Forschung und Ausbildung auf dem Gebiet der Kernenergie vom 30. September 2002 bis zum 31. Dezember 2006, vorgesehen sind?",de,"

Antwort: 940 Mio. Euro."
Frage: Welche Arten von Thunfisch fallen nicht unter die Ausgleichsentschädigungsregelung gemäß der Verordnung der Kommission (EWG) Nr. 1962/93?,de,"

Antwort: Gemäß Artikel 1 dieser Verordnung wird die Ausgleichsentschädigung für alle Thunfischarten gewährt, mit Ausnahme von Gelbflossenthun."
Frage: Sollte das Kooperationsabkommen zwischen der Europäischen Wirtschaftsgemeinschaft und dem Königreich Norwegen über einen europäischen Plan zur Förderung der Wirtschaftswissenschaften genehmigt werden?,de,"

Antwort: Ja."
Frage: Welche Entscheidung wurde vom Rat der Europäischen Gemeinschaften am 27. November 1989 bezüglich der finanziellen Beteiligung der Gemeinschaft an den Mitteln zur Überwachung und Kontrolle der Fischereitätigkeit in den portugiesischen Gewässern geändert?,de,"

Antwort: Die Entscheidung 87/279/EWG wurde geändert, um die Frist für die finanzielle Beteiligung der Gemeinschaft an den portugiesischen Mitteln zur Überwachung und Kontrolle der Fischereitätigkeit bis zum 31. Dezember 1991 zu verlängern und die Möglichkeit einer Änderung der Erstattungsentscheidung der Kommission unter Hinweis auf die tatsächliche Kostenentwicklung vorzusehen."
Frage: Welche Gebiete wurden amtlich als frei von Brucellose erklärt und in Anhang II der Entscheidungen 93/52/EWG und 2003/467/EG aufgenommen?,de,"

Antwort: Die Provinz Grosseto in der italienischen Region Toskana sowie Frankreich wurden als amtlich frei von Brucellose erklärt und in die entsprechenden Anhänge aufgenommen."
"Frage: Welche Verordnung regelt Form und Inhalt der Buchführungsdaten, die der Kommission im Rahmen des Rechnungsabschlusses des Europäischen Garantiefonds für die Landwirtschaft (EGFL) und des Europäischen Landwirtschaftsfonds für die Entwicklung des ländlichen Raums (ELER) vorgelegt werden müssen, und wie lautet ihr Inkrafttretensdatum?",de,"

Antwort: Verordnung (EG) Nr. 941/2008 der Kommission, sie ist am 16. Oktober 2008 in Kraft getreten."
Frage: Welche Gesamtmittel werden für Strukturinterventionen in der Region Hessen in Deutschland für den Zeitraum von 1997 bis 1999 genehmigt und wie werden diese aufgeteilt?,de,"

Antwort: Die Gesamtmittel für Strukturinterventionen in der Region Hessen betragen höchstens 29,966 Millionen ECU, aufgeteilt in 26,467 Millionen ECU aus dem Europäischen Fonds für regionale Entwicklung (EFRE) und 3,499 Millionen ECU aus dem Europäischen Sozialfonds (ESF)."
Frage: Welche Angaben müssen Importeure und Hersteller von fluorierten Treibhausgasen gemäß der Verordnung (EG) Nr. 1493/2007 der Kommission übermitteln?,de,"

Antwort: Zu den übermittelten Angaben gehören geschätzte Mengen an fluorierten Treibhausgasen, die voraussichtlich in den Hauptanwendungsbereichen verwendet werden, einschließlich der Mengen, die voraussichtlich als Ausgangsstoffe dienen."
Frage: Welche Menge an Pflanzkartoffeln/Erdäpfeln wird für die direkte Einfuhr nach Madeira im Zeitraum vom 1. Juli 1996 bis 30. Juni 1997 von Zöllen befreit bzw. ist beihilfefähig?,de,"

Antwort: 2.000 Tonnen."
"Frage : Welche Bedingungen müssen erfüllt sein, damit eine Beihilfe für die private Lagerhaltung von Pecorino Romano-Käse gewährt wird ?",de,"

Antwort : Folgende Bedingungen müssen erfüllt sein, damit eine Beihilfe für die private Lagerhaltung von Pecorino Romano-Käse gewährt wird :

- Die Käsepartie, auf die sich der Vertrag bezieht, muss aus mindestens zwei Tonnen bestehen .
- Der Käse muss mindestens 90 Tage vor dem im Vertrag angegebenen Einlagerungsdatum hergestellt worden sein, jedoch nach dem 1 . November 1990 .
- Der Käse muss einer Überprüfung unterzogen worden sein, die bestätigt, dass er die oben genannte Bedingung erfüllt und als Käse erster Qualität eingestuft werden kann .
- Der Lagerhalter verpflichtet sich, den Käse während der gesamten Lagerzeit in einem Lager mit einer Temperatur von höchstens 16 ° C aufzubewahren . Er verpflichtet sich außerdem, die Zusammensetzung der unter Vertrag stehenden Partie während der Vertragslaufzeit ohne Genehmigung der Interventionsstelle nicht zu ändern .
- Der Lagervertrag muss schriftlich abgeschlossen werden und den Beginn der vertraglichen Lagerung angeben . Er wird nach der Einlagerung der Käsepartie abgeschlossen, spätestens jedoch 40 Tage nach dem Beginn der vertraglichen Lagerung .
- Der Käse muss zwischen dem 15 . Mai und dem 31 . Dezember 1991 eingelagert worden sein .
- Die vertragliche Lagerzeit muss mindestens 60 Tage betragen .
- Der Betrag der Beihilfe darf den einer vertraglichen Lagerzeit von 150 Tagen nicht überschreiten, wobei diese Lagerzeit vor dem 31 . März 1992 enden muss ."
Frage: Welche Arten von Wasserzählern fallen unter diese Richtlinie und müssen daher den Mitgliedstaaten angeglichen werden?,de,"

Antwort: Diese Richtlinie gilt für Warmwasserzähler , die die durchströmende Warmwassermenge kontinuierlich aufzeichnen. Sie verfügen über ein Messwerk , das ein Zählwerk antreibt. Warmwasser im Sinne dieser Richtlinie ist Wasser mit einer Temperatur von über 30 ° C , aber nicht über 90 ° C."
Frage: Welche Erzeugnisse fallen unter die gemeinsame Marktorganisation für Saatgut gemäß der Verordnung (EG) Nr. 1947/2005?,de,"

Antwort: Die gemeinsame Marktorganisation für Saatgut gilt für die folgenden Erzeugnisse:
- Zuckermais-Hybriden zur Aussaat
- Erbsen (Pisum sativum), zur Aussaat
- Kichererbsen, zur Aussaat
- Bohnen der Arten Vigna mungo und Vigna radiata, zur Aussaat
- Adzukibohnen (Phaseolus oder Vigna angularis), zur Aussaat
- Gartenbohnen (Phaseolus vulgaris), zur Aussaat
- Andere Bohnen, zur Aussaat
- Linsen, zur Aussaat
- Puffbohnen, Pferdebohnen und Ackerbohnen, zur Aussaat
- Andere getrocknete Hülsenfrüchte, zur Aussaat
- Spelz, zur Aussaat
- Hybridmais, zur Aussaat
- Rohreis (Paddy-Reis), zur Aussaat
- Hybrid-Körner-Sorghum, zur Aussaat
- Sojabohnen, auch geschrotet, zur Aussaat
- Erdnüsse, weder geröstet noch auf andere Weise hitzebehandelt, ungeschält, zur Aussaat
- Leinsamen, auch geschrotet, zur Aussaat
- Raps- oder Rübsensamen, auch geschrotet, zur Aussaat
- Sonnenblumenkerne, auch geschrotet, zur Aussaat
- Andere Ölsamen und ölhaltige Früchte, auch geschrotet, zur Aussaat
- Samen, Früchte und Sporen, zur Aussaat"
Frage: Welche Menge an Einfuhrlizenzen für Zuckererzeugnisse wird für den Zeitraum vom 24. bis 28. September 2007 festgelegt?,de,"

Antwort: Die Kommission erlässt eine Verordnung, die die Erteilung von Einfuhrlizenzen für eine Gesamtmenge von 09.4336 (2006-2007) festlegt."
Frage: Welches Programm wurde von der Kommission am 28. November 1997 genehmigt und wie hoch ist die festgesetzte Finanzhilfe der Europäischen Gemeinschaft dafür?,de,"

Antwort: Das von Spanien vorgelegte Programm zur Tilgung der Brucellose (Brucella melitensis) wurde genehmigt. Die Finanzhilfe der Europäischen Gemeinschaft dafür wurde auf 50 % der von Spanien getätigten Ausgaben oder höchstens 5.500.000 ECU festgesetzt."
Frage: Welche Gemeinschaften genehmigten das Änderungsprotokoll zum Europa-Abkommen mit Slowenien und zu welchem Zweck wurde es verabschiedet?,de,"

Antwort: Das Änderungsprotokoll wurde von der Europäischen Gemeinschaft, der Europäischen Gemeinschaft für Kohle und Stahl und der Europäischen Atomgemeinschaft genehmigt. Seine Verabschiedung war notwendig wegen einer Verzögerung bei der Unterzeichnung des ursprünglichen Abkommens, die dazu führte, dass ein Interimsabkommen erst mit Verspätung in Kraft trat. Das Protokoll ändert das Europa-Abkommen entsprechend ab, indem es die Jahreszahl in Artikel 132 anpasst und ein neues Protokoll über Ursprungsregeln einfügt."
Frage: Welche Preise wurden für das Wirtschaftsjahr 1990/91 für Raps- und Rübsensamen sowie Sonnenblumenkerne festgesetzt und was sind die Bedingungen dafür?,de,"

Antwort: Für das Wirtschaftsjahr 1990/91 wurden folgende Preise festgesetzt:
- Richtpreis für Raps- und Rübsensamen: 42,05 ECU bzw. 45,02 ECU je 100 kg in Spanien bzw. den anderen Mitgliedstaaten.
- Interventionspreis für Raps- und Rübsensamen: 37,79 ECU bzw. 40,76 ECU je 100 kg in Spanien bzw. den anderen Mitgliedstaaten.
- Richtpreis für Sonnenblumenkerne: 49,73 ECU bzw. 58,35 ECU je 100 kg in Spanien bzw. den anderen Mitgliedstaaten.
- Interventionspreis für Sonnenblumenkerne: 44,85 ECU bzw. 53,47 ECU je 100 kg in Spanien bzw. den anderen Mitgliedstaaten.

Diese Preise gelten für lose Ware von gesunder und handelsüblicher Qualität mit bestimmten Fremdbestandteilen und Feuchtigkeits- sowie Ölgehalten."
